uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
N2cKYx4XgjQAAAFIb3IYwKxK,51.580374,4.316309,SupermarktPuP,Steenbergen,NLD,2,,4651 NC,Floraplein,{},,jumbo
XnoKYx4Xz5sAAAFNVwI7fttp,52.787036,6.109348,SupermarktPuP,Steenwijk,NLD,61,,8331 LP,Steenwijkerdiep,{},,jumbo
jAoKYx4X49UAAAFWNpFQnZCz,50.968011,5.765977,SupermarktPuP,Stein,NLD,42,,6171 JC,Raadhuisplein,{},,jumbo
lGcKYx4XAx0AAAFILREYwKxK,53.262826,5.758061,SupermarktPuP,Stiens,NLD,3-5,,9051 BT,St. Vitusplein,{},,jumbo
sIsKYx4X910AAAFKl_RHt8ey,51.485199,5.621118,SupermarktPuP,Stiphout,NLD,58D,,5708 GJ,Dorpsstraat,{},,jumbo
vY0KYx4XI9IAAAFIsBgYwKxK,51.192888,5.722356,SupermarktPuP,Stramproy,NLD,3,,6039 CP,Dr. Schaepmanstraat,{},,jumbo
ansKYx4XuEAAAAFIvpkYwKxK,53.181220,6.164630,SupermarktPuP,Surhuisterveen,NLD,27,,9231 CG,Torenplein,{},,jumbo
OE4KY7PTLYgAAAGLdl44doNM,51.232540,6.036000,SupermarktPuP,Swalmen,NLD,6,,6071 LM,Sint Jansplein,{},,jumbo
B5gKYx4XbywAAAFIiL8YwKxK,52.875166,7.059699,SupermarktPuP,Ter Apel,NLD,41,,9561 KM,Nederveen Cappelstraat,{},,jumbo
pLgKYx4XZ0AAAAFIMJ4YwKxK,51.640990,4.754919,SupermarktPuP,Terheijden,NLD,61,,4844 CB,Hoofdstraat,{},,jumbo
oz8KY7PT2gYAAAGLa144doNM,51.332680,3.847730,SupermarktPuP,Terneuzen,NLD,2,,4532 JN,Drebbelstraat,{},,jumbo
iqYKYx4XlBMAAAFInSsYwKWg,51.332382,3.847530,SupermarktPuP,Terneuzen,NLD,2,,4532 KP,Lorentzlaan,{},,jumbo
emQKYx4XIEIAAAFIB8IYwKxJ,51.333874,3.828217,SupermarktPuP,Terneuzen,NLD,10,,4538 AA,Schuttershofweg,{},,jumbo
JnYKY7PTuUwAAAGLM.o4dl8I,51.609860,4.822260,SupermarktPuP,Teteringen,NLD,7,,4847 EZ,Scheperij,{},,jumbo
vmsKY7SyUH8AAAFwrcNU9kZp,51.891440,5.439404,SupermarktPuP,Tiel,NLD,3,,4005 DE,De Kranshof,{},,jumbo
DlwKY7UEcD0AAAFykSJOq05V,51.878898,5.419650,SupermarktPuP,Tiel,NLD,12,,4006 BB,Westledeplein,{},,jumbo
